#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
creature_human;Human;Humain;Mensch;;;;;;;;;;;x
class_hunter_6_desc;Hunters are skilled and experienced marksmen. In a fight, Hunters meet their foe with the same ferocity any woodsman would find in a wild animal.;;Jäger sind fähige und erfahrene Scharfschützen. In einem Kampf begegnen Jäger ihrem Feind mit der gleichen Grausamkeit, die jeder Holzfäller in einem Wildtier antreffen würde.;;;;;;;;;;;x
class_hunter_7;Great Hunter VII;Grand Chasseur VII;Großwildjäger[From.GetinFemale] VII;;;;;;;;;;;x
class_hunter_7_desc;Hunters are skilled and experienced marksmen. In a fight, Hunters meet their foe with the same ferocity any woodsman would find in a wild animal.;;Jäger sind fähige und erfahrene Scharfschützen. In einem Kampf begegnen Jäger ihrem Feind mit der gleichen Grausamkeit, die jeder Holzfäller in einem Wildtier antreffen würde.;;;;;;;;;;;x
class_hunter_8;Master Hunter VIII;Maître Chasseur VIII;Meisterjäger[From.GetinFemale] VIII;;;;;;;;;;;x
class_hunter_8_desc;Hunters are skilled and experienced marksmen. In a fight, Hunters meet their foe with the same ferocity any woodsman would find in a wild animal.;;Jäger sind fähige und erfahrene Scharfschützen. In einem Kampf begegnen Jäger ihrem Feind mit der gleichen Grausamkeit, die jeder Holzfäller in einem Wildtier antreffen würde.;;;;;;;;;;;x
class_hunter_9;Grand Master Hunter IX;Grand Maître Chasseur IX;Großmeisterjäger[From.GetinFemale] IX;;;;;;;;;;;x
class_hunter_9_desc;Hunters are skilled and experienced marksmen. In a fight, Hunters meet their foe with the same ferocity any woodsman would find in a wild animal.;;Jäger sind fähige und erfahrene Scharfschützen. In einem Kampf begegnen Jäger ihrem Feind mit der gleichen Grausamkeit, die jeder Holzfäller in einem Wildtier antreffen würde.;;;;;;;;;;;x
class_hunter_10;Legendary Hunter X;Chasseur légendaire X;Legendäre[From.GetrMale] Jäger[From.GetinFemale] X;;;;;;;;;;;x
class_hunter_10_desc;Hunters are skilled and experienced marksmen. In a fight, Hunters meet their foe with the same ferocity any woodsman would find in a wild animal.;;Jäger sind fähige und erfahrene Scharfschützen. In einem Kampf begegnen Jäger ihrem Feind mit der gleichen Grausamkeit, die jeder Holzfäller in einem Wildtier antreffen würde.;;;;;;;;;;;x
class_warrior_1;Worthless Warrior I;Guerrier sans valeur I;Nutzlose[From.GetrMale] Krieger[From.GetinFemale] I;;;;;;;;;;;x
class_warrior_1_desc;Warriors are heavily armored, rage-fueled melee combatants. Their fury is unmatched in battle, felling those unlucky enough to meet them blade to blade.;;Krieger sind schwer gepanzerte, wutentbrannte Nahkämpfer. Ihre Raserei in der Schlacht ist unübertroffen und sie besiegen die Unglücklichen, die ihnen Klinge zu Klinge gegenüberstehen.;;;;;;;;;;;x
class_warrior_2;Novice Warrior II;Guerrier novice II;Kriegernoviz[From.GetinFemale][From.GeteFemaleOpp] II;;;;;;;;;;;x
class_warrior_2_desc;Warriors are heavily armored, rage-fueled melee combatants. Their fury is unmatched in battle, felling those unlucky enough to meet them blade to blade.;;Krieger sind schwer gepanzerte, wutentbrannte Nahkämpfer. Ihre Raserei in der Schlacht ist unübertroffen und sie besiegen die Unglücklichen, die ihnen Klinge zu Klinge gegenüberstehen.;;;;;;;;;;;x
class_warrior_3;Apprentice Warrior III;Guerrier apprenti III;Kriegerlehrling III;;;;;;;;;;;x
class_warrior_3_desc;Warriors are heavily armored, rage-fueled melee combatants. Their fury is unmatched in battle, felling those unlucky enough to meet them blade to blade.;;Krieger sind schwer gepanzerte, wutentbrannte Nahkämpfer. Ihre Raserei in der Schlacht ist unübertroffen und sie besiegen die Unglücklichen, die ihnen Klinge zu Klinge gegenüberstehen.;;;;;;;;;;;x
class_warrior_4;Experienced Warrior IV;Guerrier expérimenté IV;Schwertgesell[From.GetinFemale][From.GeteFemaleOpp] IV;;;;;;;;;;;x
class_warrior_4_desc;Warriors are heavily armored, rage-fueled melee combatants. Their fury is unmatched in battle, felling those unlucky enough to meet them blade to blade.;;Krieger sind schwer gepanzerte, wutentbrannte Nahkämpfer. Ihre Raserei in der Schlacht ist unübertroffen und sie besiegen die Unglücklichen, die ihnen Klinge zu Klinge gegenüberstehen.;;;;;;;;;;;x
class_warrior_5;Skilled Warrior V;Guerrier qualifié V;Begabte[From.GetrMale] Krieger[From.GetinFemale] V;;;;;;;;;;;x
class_warrior_5_desc;Warriors are heavily armored, rage-fueled melee combatants. Their fury is unmatched in battle, felling those unlucky enough to meet them blade to blade.;;Krieger sind schwer gepanzerte, wutentbrannte Nahkämpfer. Ihre Raserei in der Schlacht ist unübertroffen und sie besiegen die Unglücklichen, die ihnen Klinge zu Klinge gegenüberstehen.;;;;;;;;;;;x
class_warrior_6;Expert Warrior VI;;Champion VI;;;;;;;;;;;x
class_warrior_6_desc;Warriors are heavily armored, rage-fueled melee combatants. Their fury is unmatched in battle, felling those unlucky enough to meet them blade to blade.;;Krieger sind schwer gepanzerte, wutentbrannte Nahkämpfer. Ihre Raserei in der Schlacht ist unübertroffen und sie besiegen die Unglücklichen, die ihnen Klinge zu Klinge gegenüberstehen.;;;;;;;;;;;x
class_warrior_7;Great Warrior VII;;Schlachtenmeister[From.GetinFemale] VII;;;;;;;;;;;x
class_warrior_7_desc;Warriors are heavily armored, rage-fueled melee combatants. Their fury is unmatched in battle, felling those unlucky enough to meet them blade to blade.;;Krieger sind schwer gepanzerte, wutentbrannte Nahkämpfer. Ihre Raserei in der Schlacht ist unübertroffen und sie besiegen die Unglücklichen, die ihnen Klinge zu Klinge gegenüberstehen.;;;;;;;;;;;x
class_warrior_8;Master Warrior VIII;;Meisterhafte[From.GetrMale] Krieger[From.GetinFemale] VIII;;;;;;;;;;;x
class_warrior_8_desc;Warriors are heavily armored, rage-fueled melee combatants. Their fury is unmatched in battle, felling those unlucky enough to meet them blade to blade.;;Krieger sind schwer gepanzerte, wutentbrannte Nahkämpfer. Ihre Raserei in der Schlacht ist unübertroffen und sie besiegen die Unglücklichen, die ihnen Klinge zu Klinge gegenüberstehen.;;;;;;;;;;;x
class_warrior_9;Grand Master Warrior IX;;Großmeisterkrieger[From.GetinFemale] IX;;;;;;;;;;;x
class_warrior_9_desc;Warriors are heavily armored, rage-fueled melee combatants. Their fury is unmatched in battle, felling those unlucky enough to meet them blade to blade.;;Krieger sind schwer gepanzerte, wutentbrannte Nahkämpfer. Ihre Raserei in der Schlacht ist unübertroffen und sie besiegen die Unglücklichen, die ihnen Klinge zu Klinge gegenüberstehen.;;;;;;;;;;;x
class_warrior_10;Legendary Warrior X;;Legendäre[From.GetrMale] Krieger[From.GetinFemale] X;;;;;;;;;;;x
class_warrior_10_desc;Warriors are heavily armored, rage-fueled melee combatants. Their fury is unmatched in battle, felling those unlucky enough to meet them blade to blade.;;Krieger sind schwer gepanzerte, wutentbrannte Nahkämpfer. Ihre Raserei in der Schlacht ist unübertroffen und sie besiegen die Unglücklichen, die ihnen Klinge zu Klinge gegenüberstehen.;;;;;;;;;;;x
class_paladin_1;Worthless Paladin I;;Nutzlose[From.GetrMale] Paladin[From.GetinFemale] I;;;;;;;;;;;x
class_paladin_1_desc;Paladins are blessed with the task of protecting the innocent and empowering the weak. These heavily-armored holy warriors can be found to be nigh-invincible and can even call upon the powers of a Priest.;;Paladine sind mit der Aufgabe gesegnet, die Unschuldigen zu verteidigen und die Schwachen zu stärken. Diese schwer gepanzerten Gotteskrieger sind nahezu unverwundbar und können sogar die Mächte von Priestern nutzen.;;;;;;;;;;;x
class_paladin_2;Novice Paladin II;;Paladinnoviz[From.GetinFemale][From.GeteFemaleOpp] II;;;;;;;;;;;x
class_paladin_2_desc;Paladins are blessed with the task of protecting the innocent and empowering the weak. These heavily-armored holy warriors can be found to be nigh-invincible and can even call upon the powers of a Priest.;;Paladine sind mit der Aufgabe gesegnet, die Unschuldigen zu verteidigen und die Schwachen zu stärken. Diese schwer gepanzerten Gotteskrieger sind nahezu unverwundbar und können sogar die Mächte von Priestern nutzen.;;;;;;;;;;;x
class_paladin_3;Apprentice Paladin III;;Paladinlehrling III;;;;;;;;;;;x
class_paladin_3_desc;Paladins are blessed with the task of protecting the innocent and empowering the weak. These heavily-armored holy warriors can be found to be nigh-invincible and can even call upon the powers of a Priest.;;Paladine sind mit der Aufgabe gesegnet, die Unschuldigen zu verteidigen und die Schwachen zu stärken. Diese schwer gepanzerten Gotteskrieger sind nahezu unverwundbar und können sogar die Mächte von Priestern nutzen.;;;;;;;;;;;x
class_paladin_4;Experienced Paladin IV;;Beschützer[From.GetinFemale] IV;;;;;;;;;;;x
class_paladin_4_desc;Paladins are blessed with the task of protecting the innocent and empowering the weak. These heavily-armored holy warriors can be found to be nigh-invincible and can even call upon the powers of a Priest.;;Paladine sind mit der Aufgabe gesegnet, die Unschuldigen zu verteidigen und die Schwachen zu stärken. Diese schwer gepanzerten Gotteskrieger sind nahezu unverwundbar und können sogar die Mächte von Priestern nutzen.;;;;;;;;;;;x
class_paladin_5;Skilled Paladin V;;Demütige[From.GetrMale] Paladin[From.GetinFemale] V;;;;;;;;;;;x
class_paladin_5_desc;Paladins are blessed with the task of protecting the innocent and empowering the weak. These heavily-armored holy warriors can be found to be nigh-invincible and can even call upon the powers of a Priest.;;Paladine sind mit der Aufgabe gesegnet, die Unschuldigen zu verteidigen und die Schwachen zu stärken. Diese schwer gepanzerten Gotteskrieger sind nahezu unverwundbar und können sogar die Mächte von Priestern nutzen.;;;;;;;;;;;x
class_paladin_6;Expert Paladin VI;;Rächer[From.GetinFemale] VI;;;;;;;;;;;x
class_paladin_6_desc;Paladins are blessed with the task of protecting the innocent and empowering the weak. These heavily-armored holy warriors can be found to be nigh-invincible and can even call upon the powers of a Priest.;;Paladine sind mit der Aufgabe gesegnet, die Unschuldigen zu verteidigen und die Schwachen zu stärken. Diese schwer gepanzerten Gotteskrieger sind nahezu unverwundbar und können sogar die Mächte von Priestern nutzen.;;;;;;;;;;;x
class_paladin_7;Great Paladin VII;;Große[From.GetrMale] Paladin[From.GetinFemale] VII;;;;;;;;;;;x
class_paladin_7_desc;Paladins are blessed with the task of protecting the innocent and empowering the weak. These heavily-armored holy warriors can be found to be nigh-invincible and can even call upon the powers of a Priest.;;Paladine sind mit der Aufgabe gesegnet, die Unschuldigen zu verteidigen und die Schwachen zu stärken. Diese schwer gepanzerten Gotteskrieger sind nahezu unverwundbar und können sogar die Mächte von Priestern nutzen.;;;;;;;;;;;x
class_paladin_8;Master Paladin VIII;;Meisterhafte[From.GetrMale] Paladin[From.GetinFemale] VIII;;;;;;;;;;;x
class_paladin_8_desc;Paladins are blessed with the task of protecting the innocent and empowering the weak. These heavily-armored holy warriors can be found to be nigh-invincible and can even call upon the powers of a Priest.;;Paladine sind mit der Aufgabe gesegnet, die Unschuldigen zu verteidigen und die Schwachen zu stärken. Diese schwer gepanzerten Gotteskrieger sind nahezu unverwundbar und können sogar die Mächte von Priestern nutzen.;;;;;;;;;;;x
class_paladin_9;Grand Master Paladin IX;;Großmeisterpaladin[From.GetinFemale] IX;;;;;;;;;;;x
class_paladin_9_desc;Paladins are blessed with the task of protecting the innocent and empowering the weak. These heavily-armored holy warriors can be found to be nigh-invincible and can even call upon the powers of a Priest.;;Paladine sind mit der Aufgabe gesegnet, die Unschuldigen zu verteidigen und die Schwachen zu stärken. Diese schwer gepanzerten Gotteskrieger sind nahezu unverwundbar und können sogar die Mächte von Priestern nutzen.;;;;;;;;;;;x
class_paladin_10;Legendary Paladin X;;Legendäre[From.GetrMale] Paladin[From.GetinFemale] X;;;;;;;;;;;x
class_paladin_10_desc;Paladins are blessed with the task of protecting the innocent and empowering the weak. These heavily-armored holy warriors can be found to be nigh-invincible and can even call upon the powers of a Priest.;;Paladine sind mit der Aufgabe gesegnet, die Unschuldigen zu verteidigen und die Schwachen zu stärken. Diese schwer gepanzerten Gotteskrieger sind nahezu unverwundbar und können sogar die Mächte von Priestern nutzen.;;;;;;;;;;;x
